TimeUtc,Frame,ZombieCount,AI_ms,Sensing_ms,Other_ms,TotalMs,GC_kb,CurrentFPS,BaselineFPS,PeakFPS,Top1_Tag,Top1_ms,Top2_Tag,Top2_ms,Top3_Tag,Top3_ms,Top4_Tag,Top4_ms,Top5_Tag,Top5_ms
2026-03-18T18:54:30.0403942Z,3797,0,0.0000,0.0000,25.5376,25.5376,274936,22.02,60.00,160.42,GUIWindow.Update,25.5376,,,,,,,,
2026-03-18T18:55:00.0627458Z,4551,0,0.0000,0.0000,9.1495,9.1495,1448768,57.37,60.00,160.42,GUIWindow.Update,9.1495,,,,,,,,
2026-03-18T18:55:30.0685297Z,6244,0,535.7491,5.8132,1089.1876,1630.7499,2446584,104.06,60.00,160.42,EntityPlayerLocal.Update,653.8629,EntityVehicle.Update,157.0957,EntityAlive.updateTasks,152.9516,EntityAlive.Update,125.5984,EntityAlive.MoveEntityHeaded,64.4119
2026-03-18T18:56:00.0741033Z,9392,0,533.0430,0.9564,1716.6225,2250.6219,2398700,80.81,107.33,160.42,EntityPlayerLocal.Update,1096.1427,EntityVehicle.Update,268.5170,EntityAlive.Update,191.8221,EntityAlive.updateTasks,107.1570,PlayerLocal.ShelterFrameUpdate,84.3929
2026-03-18T18:56:30.0772043Z,12891,0,581.2935,4.0414,1976.5511,2561.8860,2434040,131.09,123.69,160.42,EntityPlayerLocal.Update,1302.1168,EntityVehicle.Update,299.7041,EntityAlive.Update,205.6553,EntityAlive.updateTasks,117.3532,PlayerLocal.ShelterFrameUpdate,88.1044
2026-03-18T18:57:00.0810923Z,15958,0,513.7133,1.9256,1685.1818,2200.8207,2469204,105.02,123.69,160.42,EntityPlayerLocal.Update,1086.3088,EntityVehicle.Update,255.5228,EntityAlive.Update,173.6600,EntityAlive.updateTasks,105.7007,PlayerLocal.ShelterFrameUpdate,76.5633
2026-03-18T18:57:30.2761648Z,18809,1,409.8033,0.2182,1364.1980,1774.2195,2656624,94.89,123.69,160.42,EntityPlayerLocal.Update,976.0070,EntityAlive.Update,130.7679,EntityAlive.updateCurrentBlockPosAndValue,83.8068,Entity.Update,75.1260,EntityAlive.MoveEntityHeaded,74.2281
2026-03-18T18:58:00.2707006Z,20381,12,4912.8006,69.1544,1726.8888,6708.8438,2567520,61.71,123.69,160.42,EntityAlive.updateTasks,1652.5065,EntityAlive.MoveEntityHeaded,1536.8763,EntityPlayerLocal.Update,738.9629,EAIManager.Update,494.0395,EntityAlive.DefaultMoveEntity,430.0299
2026-03-18T18:58:30.2765759Z,22524,2,2278.6962,25.4922,1572.6708,3876.8592,2490524,75.94,123.69,160.42,EntityPlayerLocal.Update,971.6664,EntityAlive.MoveEntityHeaded,753.0782,EntityAlive.updateTasks,519.0501,EntityAlive.Update,471.2304,Entity.Update,200.0896
2026-03-18T18:59:00.2915010Z,25032,4,1683.4368,2.9663,1653.5910,3339.9941,2517324,74.80,123.69,160.42,EntityPlayerLocal.Update,1062.3804,EntityAlive.MoveEntityHeaded,666.4666,EntityAlive.Update,545.7781,Entity.Update,216.9014,EntityAlive.updateTasks,191.5082
2026-03-18T18:59:30.2947834Z,27356,3,1575.0333,2.7031,1524.9128,3102.6492,2512684,95.64,123.69,160.42,EntityPlayerLocal.Update,982.8586,EntityAlive.MoveEntityHeaded,624.2212,EntityAlive.Update,445.1272,EntityAlive.updateTasks,219.5701,Entity.Update,186.2467
2026-03-18T19:00:00.3025960Z,29335,41,4556.5319,19.8541,1992.0830,6568.4690,2456640,52.03,123.69,160.42,EntityAlive.MoveEntityHeaded,1880.9146,EntityAlive.updateTasks,1144.1875,EntityPlayerLocal.Update,833.1535,EntityAlive.Update,554.2997,EntityAlive.DefaultMoveEntity,541.1465
2026-03-18T19:00:30.3147773Z,30857,11,5196.0211,57.3207,1949.1441,7202.4859,2589720,66.85,123.69,160.42,EntityAlive.MoveEntityHeaded,1906.7591,EntityAlive.updateTasks,1531.3226,EntityPlayerLocal.Update,729.8701,EntityAlive.DefaultMoveEntity,533.0252,Entity.entityCollision,499.6683
2026-03-18T19:01:00.3219915Z,32971,5,2282.2094,11.2051,1635.3187,3928.7332,2568692,70.74,123.69,160.42,EntityPlayerLocal.Update,966.3510,EntityAlive.MoveEntityHeaded,890.4993,EntityAlive.Update,602.9866,EntityAlive.updateTasks,321.2217,Entity.Update,245.5437
2026-03-18T19:01:30.3235413Z,35135,4,1736.9396,3.5515,1541.5576,3282.0487,2504932,68.42,123.69,160.42,EntityPlayerLocal.Update,1029.6020,EntityAlive.MoveEntityHeaded,714.1670,EntityAlive.Update,557.3884,Entity.Update,230.4569,EntityAlive.updateCurrentBlockPosAndValue,149.5285
2026-03-18T19:02:00.3347783Z,36906,60,2324.3504,3.4917,887.0491,3214.8912,2533176,51.73,123.69,160.42,EntityAlive.MoveEntityHeaded,1047.2883,EntityAlive.updateTasks,476.9647,EntityPlayerLocal.Update,381.1890,EntityAlive.DefaultMoveEntity,296.6411,Entity.entityCollision,275.7104
2026-03-18T19:02:30.3799993Z,37875,105,4843.4142,36.7943,1270.2267,6150.4352,2666352,24.72,123.69,160.42,EntityAlive.MoveEntityHeaded,2365.9091,EntityAlive.updateTasks,1207.6448,Entity.entityCollision,645.8865,EntityAlive.DefaultMoveEntity,644.1401,EntityMoveHelper.UpdateMoveHelper,230.1271
2026-03-18T19:03:00.3849581Z,38562,86,3383.3666,24.0490,979.1472,4386.5628,2619360,26.25,123.69,160.42,EntityAlive.MoveEntityHeaded,1607.2589,EntityAlive.updateTasks,729.3316,Entity.entityCollision,476.7367,EntityAlive.DefaultMoveEntity,449.8964,EntityAlive.Update,306.6958
2026-03-18T19:03:30.3788452Z,39663,44,6021.3478,29.9042,2054.6424,8105.8944,2746444,36.32,123.69,160.42,EntityAlive.MoveEntityHeaded,2595.6544,EntityAlive.updateTasks,1282.4238,Entity.entityCollision,784.9009,EntityAlive.Update,768.9160,EntityAlive.DefaultMoveEntity,711.3393
2026-03-18T19:04:00.3812726Z,41035,39,4594.0002,27.3708,1894.9846,6516.3556,2572720,45.79,123.69,160.42,EntityAlive.MoveEntityHeaded,1954.7004,EntityAlive.updateTasks,828.1057,EntityAlive.Update,788.6034,EntityPlayerLocal.Update,600.2936,Entity.entityCollision,564.8063
2026-03-18T19:04:30.3965571Z,42496,32,4359.3905,15.8047,1903.3086,6278.5038,2549584,53.66,123.69,160.42,EntityAlive.MoveEntityHeaded,1869.4675,EntityAlive.updateTasks,898.3885,EntityAlive.Update,696.3691,EntityPlayerLocal.Update,643.7052,Entity.entityCollision,556.7564
2026-03-18T19:05:00.4012942Z,43998,40,4210.8648,25.7750,1968.4442,6205.0840,2553924,43.60,123.69,160.42,EntityAlive.MoveEntityHeaded,1696.4361,EntityAlive.updateTasks,881.0562,EntityPlayerLocal.Update,724.2720,EntityAlive.Update,682.9699,Entity.entityCollision,541.2980
2026-03-18T19:05:30.4190922Z,45331,28,4466.6210,33.2967,1764.3837,6264.3014,2544336,46.85,123.69,160.42,EntityAlive.MoveEntityHeaded,1624.9240,EntityAlive.updateTasks,1071.8789,EntityAlive.Update,633.5943,EntityPlayerLocal.Update,614.3199,Entity.entityCollision,471.2532
2026-03-18T19:06:00.4284553Z,46875,19,27.7944,0.0407,13.6859,41.5210,2684168,53.88,123.69,160.42,EntityAlive.MoveEntityHeaded,10.2301,EntityAlive.Update,5.9624,EntityPlayerLocal.Update,5.6186,EntityAlive.updateTasks,5.3226,EntityAlive.DefaultMoveEntity,2.9208
2026-03-18T19:06:30.4333870Z,48579,14,3261.1673,7.7931,1783.3047,5052.2651,2520460,60.43,123.69,160.42,EntityAlive.MoveEntityHeaded,1151.2716,EntityAlive.Update,829.8486,EntityPlayerLocal.Update,768.2466,EntityAlive.updateTasks,586.7982,Entity.Update,424.7253
2026-03-18T19:07:00.4404915Z,50361,20,3163.3557,7.9796,1706.5293,4877.8646,2627796,52.34,123.69,160.42,EntityAlive.MoveEntityHeaded,1103.2209,EntityAlive.Update,846.5563,EntityPlayerLocal.Update,783.1438,EntityAlive.updateTasks,536.9278,Entity.Update,331.0967
2026-03-18T19:07:30.4431373Z,51847,28,4923.2440,25.8174,2137.6807,7086.7421,2703764,58.06,123.69,160.42,EntityAlive.MoveEntityHeaded,2094.5669,EntityAlive.updateTasks,914.6080,EntityAlive.Update,831.1648,EntityPlayerLocal.Update,776.4366,EntityAlive.DefaultMoveEntity,587.2656
2026-03-18T19:08:00.4714948Z,52973,67,5249.4417,27.1497,1666.1769,6942.7683,2730652,28.57,123.69,160.42,EntityAlive.MoveEntityHeaded,2370.7622,EntityAlive.updateTasks,1256.3762,EntityAlive.DefaultMoveEntity,674.5450,Entity.entityCollision,644.4016,EntityPlayerLocal.Update,452.0567
2026-03-18T19:08:30.4636217Z,53977,47,7821.3310,38.6375,2398.0092,10257.9777,2640020,41.04,123.69,160.42,EntityAlive.MoveEntityHeaded,3641.7306,EntityAlive.updateTasks,1767.8815,EntityAlive.DefaultMoveEntity,968.0675,Entity.entityCollision,865.7880,EntityPlayerLocal.Update,712.2960
2026-03-18T19:09:00.4792533Z,55050,46,7985.6956,93.8194,2565.3416,10644.8566,2503184,35.36,123.69,160.42,EntityAlive.MoveEntityHeaded,3828.4886,EntityAlive.updateTasks,1563.4473,EntityAlive.DefaultMoveEntity,1024.2051,Entity.entityCollision,1000.2447,EntityAlive.Update,798.4672
2026-03-18T19:09:30.4929137Z,56175,36,6937.9354,42.2555,2120.7468,9100.9377,2492576,46.80,123.69,160.42,EntityAlive.MoveEntityHeaded,3106.5678,EntityAlive.updateTasks,1503.8306,EntityAlive.DefaultMoveEntity,860.8395,Entity.entityCollision,758.8652,EntityAlive.Update,755.8249
2026-03-18T19:10:00.5126054Z,57544,48,5067.2823,18.3795,2091.6967,7177.3585,2778536,38.06,123.69,160.42,EntityAlive.MoveEntityHeaded,2279.8255,EntityAlive.updateTasks,903.8714,EntityPlayerLocal.Update,882.0042,EntityAlive.Update,808.7322,EntityAlive.DefaultMoveEntity,609.0875
2026-03-18T19:10:30.4935459Z,58843,14,6385.7625,47.5932,2162.8252,8596.1809,2525132,57.55,123.69,160.42,EntityAlive.MoveEntityHeaded,2517.4290,EntityAlive.updateTasks,1812.3978,EntityPlayerLocal.Update,854.1608,EntityAlive.DefaultMoveEntity,673.0338,EntityAlive.Update,638.2841
2026-03-18T19:11:00.5018171Z,60507,25,5150.2262,28.7500,2075.3607,7254.3369,2551316,53.23,123.69,160.42,EntityAlive.MoveEntityHeaded,2473.5294,EntityAlive.updateTasks,954.7103,EntityPlayerLocal.Update,816.7769,EntityAlive.Update,723.2236,EntityAlive.DefaultMoveEntity,576.5773
2026-03-18T19:11:30.5143738Z,62230,20,3482.7867,8.8347,1844.5820,5336.2034,2640148,55.71,123.69,160.42,EntityAlive.MoveEntityHeaded,1577.7155,EntityPlayerLocal.Update,930.1324,EntityAlive.updateTasks,614.5508,EntityAlive.Update,542.3131,EntityAlive.DefaultMoveEntity,423.7172
2026-03-18T19:12:00.5187830Z,63851,26,4109.2194,20.2753,2007.1201,6136.6148,2582400,56.04,123.69,160.42,EntityAlive.MoveEntityHeaded,1638.7328,EntityPlayerLocal.Update,1110.7323,EntityAlive.updateTasks,913.7728,EntityAlive.Update,626.8862,EntityAlive.DefaultMoveEntity,395.6688
