# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-03-28T03:35:55.3429869Z
# Frame: 427641
# ZombieCount: 103
# CurrentFPS: 66.62
# BaselineFPS: 133.29
# PeakFPS: 183.20
# FPSDrop%: 50.0%
# PeakZombies: 103
# CaptureNumber: 1/5
# GC_MB: 3448.7

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,491.9478,13120,0.037496,38.64%,AI_ENTITY
EntityPlayerLocal.Update,271.9571,896,0.303524,21.36%,PLAYER
EntityAlive.Update,212.9883,25442,0.008372,16.73%,AI_ENTITY
EntityAlive.updateTasks,96.6820,4990,0.019375,7.59%,AI_ENTITY
Entity.Update,74.0783,26307,0.002816,5.82%,OTHER
EAIManager.Update,32.7829,528,0.062089,2.57%,AI_TASK
EntityPlayer.Update,30.1634,896,0.033665,2.37%,OTHER
EntityAlive.updateCurrentBlockPosAndValue,24.6394,6763,0.003643,1.94%,AI_ENTITY
EntityMoveHelper.UpdateMoveHelper,11.9796,4562,0.002626,0.94%,MOVEMENT
EntityLookHelper.onUpdateLook,10.2779,4990,0.002060,0.81%,OTHER
GUIWindow.Update,7.7122,8559,0.000901,0.61%,UI
EntitySeeCache.CanSee,4.7094,185,0.025456,0.37%,SENSING
EntitySeeCache.ClearIfExpired,3.2422,2495,0.001299,0.25%,SENSING
EAIBase.Update,0.1447,74,0.001955,0.01%,AI_TASK
EntityAlive.FindPath,0.0047,2,0.002350,0.00%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
GetAttackTarget.Total,29731
CallChain.GetAttackTarget.from.Direct/Unknown,28169
Budget.Critical,17929
GetRevengeTarget.Total,10659
CallChain.GetRevengeTarget.from.Direct/Unknown,10054
MoveEntityHeaded.calls,6560
MoveSpeed.CacheHit,6434
GetAttackTarget.CacheHit,4685
Budget.Medium,2688
updateTasks.calls,2495
Budget.High,2237
Budget.Low,1792
MoveSpeed.Curved,1386
CallChain.GetAttackTarget.from.PlayerLocal.Update,1222
Budget.Grace,900
BlockPosUpdate.Throttled,875
EntityCollision.Skipped,562
MoveEntityHeaded.LiteMotion,508
CallChain.GetRevengeTarget.from.PlayerLocal.Update,495
updateTasks.LiteRun,478
EAIManager.EvalThrottled,478
CallChain.GetAttackTarget.from.updateTasks,340
MoveHelper.Throttled,214
CallChain.GetRevengeTarget.from.updateTasks,110
GetRevengeTarget.CacheHit,110
SeeCache.SharedHit,95
ZombieFrame.Skipped,31
PlayerShelter.Throttled,14
PlayerBlockRadius.Throttled,11
Budget.SurgeDetected,4

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=508, total=6560, rate=7.7%
updateTasks.Lite: skipped=478, total=2495, rate=19.2%
GetAttackTarget: skipped=4685, total=29731, rate=15.8%
GetRevengeTarget: skipped=110, total=10659, rate=1.0%
EntityCollision: skipped=562, total=562, rate=100.0%
MoveHelper: skipped=214, total=214, rate=100.0%
EAIManager.Eval: skipped=478, total=478, rate=100.0%
SeeCache.Shared: skipped=95, total=95, rate=100.0%
PlayerBlockRadius: skipped=11, total=11, rate=100.0%
PlayerShelter: skipped=14, total=14, rate=100.0%
ZombieFrame: skipped=31, total=31, rate=100.0%
MoveSpeed: skipped=6434, total=6434, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,28169
CallChain.GetRevengeTarget.from.Direct/Unknown,10054
CallChain.GetAttackTarget.from.PlayerLocal.Update,1222
CallChain.GetRevengeTarget.from.PlayerLocal.Update,495
CallChain.GetAttackTarget.from.updateTasks,340
CallChain.GetRevengeTarget.from.updateTasks,110

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 12.3622
EntityAlive.MoveEntityHeaded: 4.7762 ms/zombie
EntityPlayerLocal.Update: 2.6404 ms/zombie
EntityAlive.Update: 2.0678 ms/zombie
EntityAlive.updateTasks: 0.9387 ms/zombie
Entity.Update: 0.7192 ms/zombie
EAIManager.Update: 0.3183 ms/zombie
EntityPlayer.Update: 0.2928 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 0.2392 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 0.1163 ms/zombie
EntityLookHelper.onUpdateLook: 0.0998 ms/zombie
