# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-04-11T18:07:02.5809984Z
# Frame: 46802
# ZombieCount: 24
# CurrentFPS: 42.71
# BaselineFPS: 93.51
# PeakFPS: 148.57
# FPSDrop%: 54.3%
# PeakZombies: 27
# CaptureNumber: 1/5
# GC_MB: 2290.6

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.updateTasks,960.7474,26616,0.036097,23.51%,AI_ENTITY
EntityAlive.MoveEntityHeaded,922.5541,31474,0.029312,22.57%,AI_ENTITY
EntityPlayerLocal.Update,691.9361,1347,0.513687,16.93%,PLAYER
EAIManager.Update,433.4081,19070,0.022727,10.61%,AI_TASK
EntityAlive.Update,417.8905,45651,0.009154,10.23%,AI_ENTITY
EntityMoveHelper.UpdateMoveHelper,189.6437,26616,0.007125,4.64%,MOVEMENT
Entity.Update,178.0646,51412,0.003463,4.36%,OTHER
EntityAlive.updateCurrentBlockPosAndValue,116.6334,17840,0.006538,2.85%,AI_ENTITY
EntitySeeCache.CanSee,52.0248,8281,0.006282,1.27%,SENSING
EntityLookHelper.onUpdateLook,49.8876,26616,0.001874,1.22%,OTHER
EntityPlayer.Update,28.1106,1347,0.020869,0.69%,OTHER
BaseObjective.Update,17.7895,1347,0.013207,0.44%,OTHER
EntitySeeCache.ClearIfExpired,10.9702,13308,0.000824,0.27%,SENSING
GUIWindow.Update,10.8664,12123,0.000896,0.27%,UI
EntityAlive.updateSpeedForwardAndStrafe,3.5462,3156,0.001124,0.09%,AI_ENTITY
EAIBase.Update,1.6561,1370,0.001209,0.04%,AI_TASK
EntityAlive.FindPath,1.0563,340,0.003107,0.03%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Combat.Total,30837
Combat.Alert,27424
Combat.Investigating,21964
MoveSpeed.CacheHit,17313
GetAttackTarget.Total,16999
Budget.Critical,16501
GetAttackTarget.CacheHit,15896
MoveEntityHeaded.calls,15737
Budget.High,15683
Budget.AwareDemoted,15683
updateTasks.calls,13308
Budget.Medium,10776
Critical.Combat,8879
CallChain.GetAttackTarget.from.OnUpdateLive,8769
Combat.AttackTarget,8663
CallChain.GetAttackTarget.from.Direct/Unknown,8230
Critical.Close,7622
Combat.RevengeTarget,5926
SeeCache.SharedHit,3828
CallChain.GetRevengeTarget.from.OnUpdateLive,2881
GetRevengeTarget.Total,2881
GetRevengeTarget.CacheHit,2881
BlockPosUpdate.Throttled,1918
updateSpeedForwardAndStrafe.calls,1578
MoveEntityHeaded.LiteMotion,1527
ThreatLevel.Throttled,1347
Budget.Low,1347
ZombieFrame.Skipped,777
EntityCollision.Skipped,694
SpeedStrafe.Throttled,694
PlayerShelter.Throttled,582
JiggleBone.Disabled,538
Combat.RecentlyAttacked,460
MoveHelper.Throttled,458
SleeperVolume.Skipped,393
Particle.EmissionScaled,211
updateTasks.LiteRun,172
EAIManager.EvalThrottled,172
Budget.Grace,20
FindPath.CacheHit,12
PlayerBlockRadius.Throttled,11

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=1527, total=15737, rate=9.7%
updateTasks.Lite: skipped=172, total=13308, rate=1.3%
GetAttackTarget: skipped=15896, total=16999, rate=93.5%
GetRevengeTarget: skipped=2881, total=2881, rate=100.0%
EntityCollision: skipped=694, total=694, rate=100.0%
MoveHelper: skipped=458, total=458, rate=100.0%
SpeedStrafe: skipped=694, total=694, rate=100.0%
EAIManager.Eval: skipped=172, total=172, rate=100.0%
SeeCache.Shared: skipped=3828, total=3828, rate=100.0%
PlayerBlockRadius: skipped=11, total=11, rate=100.0%
PlayerShelter: skipped=582, total=582, rate=100.0%
ZombieFrame: skipped=777, total=777, rate=100.0%
MoveSpeed: skipped=17313, total=17313, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.OnUpdateLive,8769
CallChain.GetAttackTarget.from.Direct/Unknown,8230
CallChain.GetRevengeTarget.from.OnUpdateLive,2881

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 170.2827
EntityAlive.updateTasks: 40.0311 ms/zombie
EntityAlive.MoveEntityHeaded: 38.4398 ms/zombie
EntityPlayerLocal.Update: 28.8307 ms/zombie
EAIManager.Update: 18.0587 ms/zombie
EntityAlive.Update: 17.4121 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 7.9018 ms/zombie
Entity.Update: 7.4194 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 4.8597 ms/zombie
EntitySeeCache.CanSee: 2.1677 ms/zombie
EntityLookHelper.onUpdateLook: 2.0787 ms/zombie
