# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-04-11T18:21:35.6180430Z
# Frame: 105157
# ZombieCount: 29
# CurrentFPS: 46.00
# BaselineFPS: 93.51
# PeakFPS: 148.57
# FPSDrop%: 50.8%
# PeakZombies: 31
# CaptureNumber: 4/5
# GC_MB: 2384.0

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityPlayerLocal.Update,1043.8806,1772,0.589097,24.49%,PLAYER
EntityAlive.updateTasks,896.6292,24368,0.036795,21.03%,AI_ENTITY
EntityAlive.MoveEntityHeaded,828.9335,25162,0.032944,19.45%,AI_ENTITY
EntityAlive.Update,425.9856,37687,0.011303,9.99%,AI_ENTITY
EAIManager.Update,354.3598,18956,0.018694,8.31%,AI_TASK
EntityMoveHelper.UpdateMoveHelper,229.8166,24368,0.009431,5.39%,MOVEMENT
Entity.Update,181.8183,42428,0.004285,4.27%,OTHER
EntityAlive.updateCurrentBlockPosAndValue,108.1082,13166,0.008211,2.54%,AI_ENTITY
EntitySeeCache.CanSee,59.1940,14589,0.004057,1.39%,SENSING
EntityLookHelper.onUpdateLook,45.4689,24368,0.001866,1.07%,OTHER
EntityPlayer.Update,42.1782,1772,0.023803,0.99%,OTHER
BaseObjective.Update,19.2152,1772,0.010844,0.45%,OTHER
GUIWindow.Update,14.5231,16168,0.000898,0.34%,UI
EntitySeeCache.ClearIfExpired,10.3777,12184,0.000852,0.24%,SENSING
EAIBase.Update,1.3246,1384,0.000957,0.03%,AI_TASK
EntityAlive.FindPath,1.0108,302,0.003347,0.02%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Combat.Total,29899
Combat.Alert,28637
GetAttackTarget.Total,24494
GetAttackTarget.CacheHit,22896
Combat.Investigating,22008
Budget.Critical,19769
CallChain.GetAttackTarget.from.Direct/Unknown,16688
Budget.High,15648
Budget.AwareDemoted,14733
MoveEntityHeaded.calls,12581
MoveSpeed.CacheHit,12559
updateTasks.calls,12184
Critical.Combat,10382
Combat.AttackTarget,9679
Critical.Close,9387
CallChain.GetAttackTarget.from.OnUpdateLive,7806
SeeCache.SharedHit,3570
Combat.RevengeTarget,1346
CallChain.GetRevengeTarget.from.OnUpdateLive,1085
GetRevengeTarget.Total,1085
GetRevengeTarget.CacheHit,1085
ThreatLevel.Throttled,1046
Budget.Medium,548
SleeperVolume.Skipped,439
JiggleBone.Disabled,236
BlockPosUpdate.Throttled,225
Budget.Grace,220
Combat.RecentlyAttacked,213
MoveSpeed.Curved,212
PlayerShelter.Throttled,177
Particle.EmissionScaled,87
MoveEntityHeaded.LiteMotion,60
PlayerBlockRadius.Throttled,3
updateTasks.LiteRun,3
EAIManager.EvalThrottled,3
Budget.Low,0

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=60, total=12581, rate=0.5%
updateTasks.Lite: skipped=3, total=12184, rate=0.0%
GetAttackTarget: skipped=22896, total=24494, rate=93.5%
GetRevengeTarget: skipped=1085, total=1085, rate=100.0%
EAIManager.Eval: skipped=3, total=3, rate=100.0%
SeeCache.Shared: skipped=3570, total=3570, rate=100.0%
PlayerBlockRadius: skipped=3, total=3, rate=100.0%
PlayerShelter: skipped=177, total=177, rate=100.0%
MoveSpeed: skipped=12559, total=12559, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,16688
CallChain.GetAttackTarget.from.OnUpdateLive,7806
CallChain.GetRevengeTarget.from.OnUpdateLive,1085

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 146.9939
EntityPlayerLocal.Update: 35.9959 ms/zombie
EntityAlive.updateTasks: 30.9182 ms/zombie
EntityAlive.MoveEntityHeaded: 28.5839 ms/zombie
EntityAlive.Update: 14.6892 ms/zombie
EAIManager.Update: 12.2193 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 7.9247 ms/zombie
Entity.Update: 6.2696 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 3.7279 ms/zombie
EntitySeeCache.CanSee: 2.0412 ms/zombie
EntityLookHelper.onUpdateLook: 1.5679 ms/zombie
