# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-04-13T05:18:39.4944310Z
# Frame: 29766
# ZombieCount: 43
# CurrentFPS: 46.12
# BaselineFPS: 115.81
# PeakFPS: 195.80
# FPSDrop%: 60.2%
# PeakZombies: 44
# CaptureNumber: 2/5
# GC_MB: 2477.5

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,391.4759,19882,0.019690,24.29%,AI_ENTITY
EntityAlive.updateTasks,331.1110,17214,0.019235,20.54%,AI_ENTITY
EntityPlayerLocal.Update,259.9392,573,0.453646,16.13%,PLAYER
EntityAlive.Update,205.2742,26579,0.007723,12.73%,AI_ENTITY
EAIManager.Update,103.9518,7398,0.014051,6.45%,AI_TASK
EntityMoveHelper.UpdateMoveHelper,90.1123,17214,0.005235,5.59%,MOVEMENT
EntityAlive.updateCurrentBlockPosAndValue,80.2687,10531,0.007622,4.98%,AI_ENTITY
Entity.Update,76.4134,21420,0.003567,4.74%,OTHER
EntityLookHelper.onUpdateLook,29.4933,17214,0.001713,1.83%,OTHER
EntitySeeCache.CanSee,12.2529,2695,0.004547,0.76%,SENSING
EntityPlayer.Update,11.1517,573,0.019462,0.69%,OTHER
EntitySeeCache.ClearIfExpired,7.0324,8972,0.000784,0.44%,SENSING
BaseObjective.Update,6.0606,573,0.010577,0.38%,OTHER
GUIWindow.Update,4.5453,5157,0.000881,0.28%,UI
EntityAlive.updateSpeedForwardAndStrafe,1.2509,730,0.001714,0.08%,AI_ENTITY
EAIBase.Update,1.2186,777,0.001568,0.08%,AI_TASK
EntityAlive.FindPath,0.3702,129,0.002870,0.02%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Combat.Total,19025
Combat.Alert,16154
GetAttackTarget.Total,13280
Budget.AwareDemoted,12802
Combat.Investigating,12137
CallChain.GetAttackTarget.from.Direct/Unknown,11252
MoveSpeed.CacheHit,10293
MoveEntityHeaded.calls,9941
Budget.Critical,9624
Budget.Low,8610
updateTasks.calls,8607
ZombieFrame.Skipped,5732
Critical.Close,5463
GetAttackTarget.CacheHit,5440
Budget.High,5275
Critical.Combat,4161
Combat.AttackTarget,4106
MoveSpeed.Curved,3315
Combat.RevengeTarget,2540
Budget.Medium,2510
MoveEntityHeaded.Skipped,2335
CallChain.GetAttackTarget.from.OnUpdateLive,2028
BlockPosUpdate.Throttled,1745
updateTasks.LiteRun,1676
EAIManager.EvalThrottled,1676
MoveHelper.Throttled,1409
CallChain.GetRevengeTarget.from.OnUpdateLive,764
GetRevengeTarget.Total,764
ThreatLevel.Throttled,573
JiggleBone.Disabled,375
updateSpeedForwardAndStrafe.calls,365
PlayerShelter.Throttled,287
EntityCollision.Skipped,262
SleeperVolume.Skipped,168
Budget.Grace,132
SpeedStrafe.Throttled,106
Particle.EmissionScaled,34
Combat.RecentlyAttacked,21
GetRevengeTarget.CacheHit,16
PlayerBlockRadius.Throttled,1

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=0, total=9941, rate=0.0%
updateTasks.Lite: skipped=1676, total=8607, rate=19.5%
GetAttackTarget: skipped=5440, total=13280, rate=41.0%
GetRevengeTarget: skipped=16, total=764, rate=2.1%
EntityCollision: skipped=262, total=262, rate=100.0%
MoveHelper: skipped=1409, total=1409, rate=100.0%
SpeedStrafe: skipped=106, total=106, rate=100.0%
EAIManager.Eval: skipped=1676, total=1676, rate=100.0%
PlayerBlockRadius: skipped=1, total=1, rate=100.0%
PlayerShelter: skipped=287, total=287, rate=100.0%
ZombieFrame: skipped=5732, total=5732, rate=100.0%
MoveSpeed: skipped=10293, total=10293, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,11252
CallChain.GetAttackTarget.from.OnUpdateLive,2028
CallChain.GetRevengeTarget.from.OnUpdateLive,764

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 37.4866
EntityAlive.MoveEntityHeaded: 9.1041 ms/zombie
EntityAlive.updateTasks: 7.7003 ms/zombie
EntityPlayerLocal.Update: 6.0451 ms/zombie
EntityAlive.Update: 4.7738 ms/zombie
EAIManager.Update: 2.4175 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 2.0956 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 1.8667 ms/zombie
Entity.Update: 1.7771 ms/zombie
EntityLookHelper.onUpdateLook: 0.6859 ms/zombie
EntitySeeCache.CanSee: 0.2850 ms/zombie
