# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-03-20T06:11:15.9556132Z
# Frame: 16784
# ZombieCount: 50
# CurrentFPS: 53.29
# BaselineFPS: 132.51
# PeakFPS: 182.85
# FPSDrop%: 59.8%
# PeakZombies: 50
# CaptureNumber: 1/5
# GC_MB: 2401.0

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,12.6943,444,0.028591,32.87%,AI_ENTITY
EntityAlive.Update,7.1973,596,0.012076,18.63%,AI_ENTITY
EntityAlive.updateTasks,6.9849,412,0.016954,18.08%,AI_ENTITY
EntityPlayerLocal.Update,4.3298,11,0.393618,11.21%,PLAYER
EAIManager.Update,2.2744,216,0.010530,5.89%,AI_TASK
Entity.Update,1.8193,552,0.003296,4.71%,OTHER
EntityMoveHelper.UpdateMoveHelper,0.9269,412,0.002250,2.40%,MOVEMENT
EntityAlive.updateCurrentBlockPosAndValue,0.6771,227,0.002983,1.75%,AI_ENTITY
EntityLookHelper.onUpdateLook,0.6494,412,0.001576,1.68%,OTHER
EntitySeeCache.CanSee,0.5429,33,0.016452,1.41%,SENSING
EntityPlayer.Update,0.1872,11,0.017018,0.48%,OTHER
EntitySeeCache.ClearIfExpired,0.1425,206,0.000692,0.37%,SENSING
BaseObjective.Update,0.1100,11,0.010000,0.28%,OTHER
GUIWindow.Update,0.0812,99,0.000820,0.21%,UI
EAIBase.Update,0.0064,3,0.002133,0.02%,AI_TASK
EntityAlive.FindPath,0.0013,1,0.001300,0.00%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
GetAttackTarget.Total,850
CallChain.GetAttackTarget.from.Direct/Unknown,831
GetRevengeTarget.Total,569
CallChain.GetRevengeTarget.from.Direct/Unknown,556
Budget.Critical,446
GetAttackTarget.CacheHit,261
MoveEntityHeaded.calls,222
MoveSpeed.CacheHit,220
updateTasks.calls,206
Budget.Low,66
Budget.Medium,55
MoveSpeed.Curved,52
ZombieFrame.Skipped,44
MoveEntityHeaded.LiteMotion,29
BlockPosUpdate.Throttled,28
Budget.Grace,23
Budget.High,22
CallChain.GetAttackTarget.from.updateTasks,19
updateTasks.LiteRun,16
EAIManager.EvalThrottled,16
MoveHelper.Throttled,13
CallChain.GetRevengeTarget.from.updateTasks,13
GetRevengeTarget.CacheHit,13
PlayerShelter.Throttled,6
FindPath.CacheHit,1

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=29, total=222, rate=13.1%
updateTasks.Lite: skipped=16, total=206, rate=7.8%
GetAttackTarget: skipped=261, total=850, rate=30.7%
GetRevengeTarget: skipped=13, total=569, rate=2.3%
MoveHelper: skipped=13, total=13, rate=100.0%
EAIManager.Eval: skipped=16, total=16, rate=100.0%
PlayerShelter: skipped=6, total=6, rate=100.0%
ZombieFrame: skipped=44, total=44, rate=100.0%
MoveSpeed: skipped=220, total=220, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,831
CallChain.GetRevengeTarget.from.Direct/Unknown,556
CallChain.GetAttackTarget.from.updateTasks,19
CallChain.GetRevengeTarget.from.updateTasks,13

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 0.7725
EntityAlive.MoveEntityHeaded: 0.2539 ms/zombie
EntityAlive.Update: 0.1439 ms/zombie
EntityAlive.updateTasks: 0.1397 ms/zombie
EntityPlayerLocal.Update: 0.0866 ms/zombie
EAIManager.Update: 0.0455 ms/zombie
Entity.Update: 0.0364 ms/zombie
