# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-04-09T16:21:55.6001153Z
# Frame: 95162
# ZombieCount: 53
# CurrentFPS: 40.44
# BaselineFPS: 112.64
# PeakFPS: 150.29
# FPSDrop%: 64.1%
# PeakZombies: 53
# CaptureNumber: 3/5
# GC_MB: 2553.2

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,729.8374,31844,0.022919,27.75%,AI_ENTITY
EntityAlive.updateTasks,608.3636,27344,0.022249,23.13%,AI_ENTITY
EntityPlayerLocal.Update,306.0570,573,0.534131,11.64%,PLAYER
EntityAlive.Update,288.9516,34415,0.008396,10.99%,AI_ENTITY
EAIManager.Update,210.4629,9700,0.021697,8.00%,AI_TASK
EntityAlive.updateCurrentBlockPosAndValue,132.6393,16192,0.008192,5.04%,AI_ENTITY
Entity.Update,119.1522,35530,0.003354,4.53%,OTHER
EntityMoveHelper.UpdateMoveHelper,117.4045,27344,0.004294,4.46%,MOVEMENT
EntityLookHelper.onUpdateLook,48.5290,27344,0.001775,1.85%,OTHER
EntitySeeCache.CanSee,33.6321,10610,0.003170,1.28%,SENSING
EntityPlayer.Update,11.6229,573,0.020284,0.44%,OTHER
EntitySeeCache.ClearIfExpired,9.7566,13672,0.000714,0.37%,SENSING
BaseObjective.Update,5.8738,573,0.010251,0.22%,OTHER
GUIWindow.Update,4.4120,5157,0.000856,0.17%,UI
EAIBase.Update,2.2722,2285,0.000994,0.09%,AI_TASK
EntityAlive.FindPath,0.7148,269,0.002657,0.03%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
GetAttackTarget.Total,57993
GetRevengeTarget.Total,25349
GetAttackTarget.CacheHit,24140
CallChain.GetAttackTarget.from.EntityHuman.OnUpdateLive,20660
Budget.Critical,18702
CallChain.GetAttackTarget.from.EntityBuffs.Tick,18280
CallChain.GetAttackTarget.from.OnUpdateLive,16227
MoveEntityHeaded.calls,15922
MoveSpeed.CacheHit,15914
Budget.High,14142
updateTasks.calls,13672
CallChain.GetRevengeTarget.from.EntityHuman.OnUpdateLive,11865
CallChain.GetRevengeTarget.from.OnUpdateLive,11471
SeeCache.SharedHit,7297
CallChain.GetAttackTarget.from.Direct/Unknown,2826
CallChain.GetRevengeTarget.from.Direct/Unknown,2013
MoveSpeed.Curved,1017
Budget.Medium,960
GetRevengeTarget.CacheHit,497
PlayerShelter.Throttled,286
BlockPosUpdate.Throttled,246
MoveHelper.Throttled,241
MoveEntityHeaded.LiteMotion,211
SleeperVolume.Skipped,202
Budget.Grace,78
Budget.Low,46
JiggleBone.Disabled,33
updateTasks.LiteRun,32
EAIManager.EvalThrottled,32
ZombieFrame.Skipped,31
PlayerBlockRadius.Throttled,12
FindPath.CacheHit,1

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=211, total=15922, rate=1.3%
updateTasks.Lite: skipped=32, total=13672, rate=0.2%
GetAttackTarget: skipped=24140, total=57993, rate=41.6%
GetRevengeTarget: skipped=497, total=25349, rate=2.0%
MoveHelper: skipped=241, total=241, rate=100.0%
EAIManager.Eval: skipped=32, total=32, rate=100.0%
SeeCache.Shared: skipped=7297, total=7297, rate=100.0%
PlayerBlockRadius: skipped=12, total=12, rate=100.0%
PlayerShelter: skipped=286, total=286, rate=100.0%
ZombieFrame: skipped=31, total=31, rate=100.0%
MoveSpeed: skipped=15914, total=15914, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.EntityHuman.OnUpdateLive,20660
CallChain.GetAttackTarget.from.EntityBuffs.Tick,18280
CallChain.GetAttackTarget.from.OnUpdateLive,16227
CallChain.GetRevengeTarget.from.EntityHuman.OnUpdateLive,11865
CallChain.GetRevengeTarget.from.OnUpdateLive,11471
CallChain.GetAttackTarget.from.Direct/Unknown,2826
CallChain.GetRevengeTarget.from.Direct/Unknown,2013

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 49.6166
EntityAlive.MoveEntityHeaded: 13.7705 ms/zombie
EntityAlive.updateTasks: 11.4786 ms/zombie
EntityPlayerLocal.Update: 5.7747 ms/zombie
EntityAlive.Update: 5.4519 ms/zombie
EAIManager.Update: 3.9710 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 2.5026 ms/zombie
Entity.Update: 2.2482 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 2.2152 ms/zombie
EntityLookHelper.onUpdateLook: 0.9156 ms/zombie
EntitySeeCache.CanSee: 0.6346 ms/zombie
