# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-04-09T20:05:45.6950225Z
# Frame: 97490
# ZombieCount: 56
# CurrentFPS: 41.74
# BaselineFPS: 127.66
# PeakFPS: 187.06
# FPSDrop%: 67.3%
# PeakZombies: 83
# CaptureNumber: 4/5
# GC_MB: 2407.6

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,1373.3820,75046,0.018301,30.03%,AI_ENTITY
EntityAlive.updateTasks,900.6931,58806,0.015316,19.70%,AI_ENTITY
EntityPlayerLocal.Update,659.4384,989,0.666773,14.42%,PLAYER
EntityAlive.Update,624.5912,74404,0.008395,13.66%,AI_ENTITY
EntityAlive.updateCurrentBlockPosAndValue,286.6312,38025,0.007538,6.27%,AI_ENTITY
Entity.Update,229.6914,74572,0.003080,5.02%,OTHER
EntityMoveHelper.UpdateMoveHelper,204.9582,58806,0.003485,4.48%,MOVEMENT
EAIManager.Update,126.3252,10408,0.012137,2.76%,AI_TASK
EntityLookHelper.onUpdateLook,96.4514,58806,0.001640,2.11%,OTHER
EntityPlayer.Update,19.9222,989,0.020144,0.44%,OTHER
EntitySeeCache.ClearIfExpired,19.8837,29403,0.000676,0.43%,SENSING
BaseObjective.Update,10.7122,989,0.010831,0.23%,OTHER
EntitySeeCache.CanSee,10.2478,2748,0.003729,0.22%,SENSING
GUIWindow.Update,8.2048,9057,0.000906,0.18%,UI
EAIBase.Update,1.4614,1079,0.001354,0.03%,AI_TASK
EntityAlive.FindPath,0.1420,44,0.003227,0.00%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
GetAttackTarget.Total,128116
GetRevengeTarget.Total,59163
GetAttackTarget.CacheHit,54701
CallChain.GetAttackTarget.from.EntityBuffs.Tick,53101
Budget.High,43443
MoveSpeed.CacheHit,37523
MoveEntityHeaded.calls,37523
CallChain.GetAttackTarget.from.OnUpdateLive,34998
CallChain.GetAttackTarget.from.EntityHuman.OnUpdateLive,32506
updateTasks.calls,29403
CallChain.GetRevengeTarget.from.OnUpdateLive,27937
Budget.Critical,27011
CallChain.GetRevengeTarget.from.EntityHuman.OnUpdateLive,25302
CallChain.GetAttackTarget.from.Direct/Unknown,5693
CallChain.GetRevengeTarget.from.Direct/Unknown,4525
BlockPosUpdate.Throttled,2755
MoveSpeed.Curved,2527
Budget.Medium,1853
CallChain.GetAttackTarget.from.PlayerLocal.Update,1818
CallChain.GetRevengeTarget.from.PlayerLocal.Update,1399
Budget.Low,1108
MoveEntityHeaded.LiteMotion,1062
ThreatLevel.Throttled,989
ZombieFrame.Skipped,821
updateTasks.LiteRun,791
EAIManager.EvalThrottled,791
PlayerShelter.Throttled,707
SeeCache.SharedHit,601
GetRevengeTarget.CacheHit,499
SleeperVolume.Skipped,376
MoveHelper.Throttled,253
PlayerBlockRadius.Throttled,214
JiggleBone.Disabled,99
Particle.EmissionScaled,42

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=1062, total=37523, rate=2.8%
updateTasks.Lite: skipped=791, total=29403, rate=2.7%
GetAttackTarget: skipped=54701, total=128116, rate=42.7%
GetRevengeTarget: skipped=499, total=59163, rate=0.8%
MoveHelper: skipped=253, total=253, rate=100.0%
EAIManager.Eval: skipped=791, total=791, rate=100.0%
SeeCache.Shared: skipped=601, total=601, rate=100.0%
PlayerBlockRadius: skipped=214, total=214, rate=100.0%
PlayerShelter: skipped=707, total=707, rate=100.0%
ZombieFrame: skipped=821, total=821, rate=100.0%
MoveSpeed: skipped=37523, total=37523, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.EntityBuffs.Tick,53101
CallChain.GetAttackTarget.from.OnUpdateLive,34998
CallChain.GetAttackTarget.from.EntityHuman.OnUpdateLive,32506
CallChain.GetRevengeTarget.from.OnUpdateLive,27937
CallChain.GetRevengeTarget.from.EntityHuman.OnUpdateLive,25302
CallChain.GetAttackTarget.from.Direct/Unknown,5693
CallChain.GetRevengeTarget.from.Direct/Unknown,4525
CallChain.GetAttackTarget.from.PlayerLocal.Update,1818
CallChain.GetRevengeTarget.from.PlayerLocal.Update,1399

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 81.6560
EntityAlive.MoveEntityHeaded: 24.5247 ms/zombie
EntityAlive.updateTasks: 16.0838 ms/zombie
EntityPlayerLocal.Update: 11.7757 ms/zombie
EntityAlive.Update: 11.1534 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 5.1184 ms/zombie
Entity.Update: 4.1016 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 3.6600 ms/zombie
EAIManager.Update: 2.2558 ms/zombie
EntityLookHelper.onUpdateLook: 1.7223 ms/zombie
EntityPlayer.Update: 0.3558 ms/zombie
