# HIGH-LOAD CAPTURE: FPS_DROP
# Timestamp: 2026-04-11T16:47:55.4664521Z
# Frame: 22676
# ZombieCount: 72
# CurrentFPS: 33.29
# BaselineFPS: 92.41
# PeakFPS: 145.69
# FPSDrop%: 64.0%
# PeakZombies: 81
# CaptureNumber: 4/5
# GC_MB: 2386.8

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,1679.9963,79564,0.021115,33.90%,AI_ENTITY
EntityAlive.updateTasks,1215.7621,69324,0.017537,24.53%,AI_ENTITY
EntityAlive.Update,601.7765,66841,0.009003,12.14%,AI_ENTITY
EntityMoveHelper.UpdateMoveHelper,355.4846,69324,0.005128,7.17%,MOVEMENT
EntityPlayerLocal.Update,269.2774,730,0.368873,5.43%,PLAYER
EAIManager.Update,256.3683,13516,0.018968,5.17%,AI_TASK
Entity.Update,237.0567,67323,0.003521,4.78%,OTHER
EntityAlive.updateCurrentBlockPosAndValue,116.1140,42942,0.002704,2.34%,AI_ENTITY
EntityLookHelper.onUpdateLook,111.6516,69324,0.001611,2.25%,OTHER
EntitySeeCache.CanSee,47.5521,10437,0.004556,0.96%,SENSING
EntitySeeCache.ClearIfExpired,24.1982,36053,0.000671,0.49%,SENSING
EntityPlayer.Update,18.2835,730,0.025046,0.37%,OTHER
BaseObjective.Update,7.4206,730,0.010165,0.15%,OTHER
EntityAlive.updateSpeedForwardAndStrafe,5.8623,4922,0.001191,0.12%,AI_ENTITY
GUIWindow.Update,5.8394,6571,0.000889,0.12%,UI
EAIBase.Update,1.8184,1672,0.001088,0.04%,AI_TASK
EntityAlive.FindPath,0.7638,268,0.002850,0.02%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Combat.Total,45982
GetAttackTarget.Total,44808
GetAttackTarget.CacheHit,44580
MoveSpeed.CacheHit,42446
MoveEntityHeaded.calls,39782
CallChain.GetAttackTarget.from.Direct/Unknown,38940
Combat.Alert,37660
Budget.High,34682
updateTasks.calls,34662
Combat.Investigating,34484
Budget.AwareDemoted,30065
MoveSpeed.Curved,23230
BlockPosUpdate.Throttled,22255
Budget.Critical,16426
Critical.Combat,13649
Budget.Medium,12845
Combat.AttackTarget,11541
Combat.RevengeTarget,9277
CallChain.GetAttackTarget.from.OnUpdateLive,5868
SeeCache.SharedHit,3986
MoveEntityHeaded.LiteMotion,2856
Critical.Close,2777
updateSpeedForwardAndStrafe.calls,2461
updateTasks.LiteRun,2303
EAIManager.EvalThrottled,2303
Budget.Low,2190
CallChain.GetRevengeTarget.from.OnUpdateLive,2069
GetRevengeTarget.Total,2069
GetRevengeTarget.CacheHit,2069
ZombieFrame.Skipped,1643
JiggleBone.Disabled,1506
ThreatLevel.Throttled,730
PlayerShelter.Throttled,547
EntityCollision.Skipped,395
SpeedStrafe.Throttled,395
Combat.RecentlyAttacked,362
SleeperVolume.Skipped,352
Budget.Grace,279
PlayerBlockRadius.Throttled,249
MoveHelper.Throttled,211
Particle.EmissionScaled,135
FindPath.CacheHit,5

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=2856, total=39782, rate=7.2%
updateTasks.Lite: skipped=2303, total=34662, rate=6.6%
GetAttackTarget: skipped=44580, total=44808, rate=99.5%
GetRevengeTarget: skipped=2069, total=2069, rate=100.0%
EntityCollision: skipped=395, total=395, rate=100.0%
MoveHelper: skipped=211, total=211, rate=100.0%
SpeedStrafe: skipped=395, total=395, rate=100.0%
EAIManager.Eval: skipped=2303, total=2303, rate=100.0%
SeeCache.Shared: skipped=3986, total=3986, rate=100.0%
PlayerBlockRadius: skipped=249, total=249, rate=100.0%
PlayerShelter: skipped=547, total=547, rate=100.0%
ZombieFrame: skipped=1643, total=1643, rate=100.0%
MoveSpeed: skipped=42446, total=42446, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,38940
CallChain.GetAttackTarget.from.OnUpdateLive,5868
CallChain.GetRevengeTarget.from.OnUpdateLive,2069

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 68.8226
EntityAlive.MoveEntityHeaded: 23.3333 ms/zombie
EntityAlive.updateTasks: 16.8856 ms/zombie
EntityAlive.Update: 8.3580 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 4.9373 ms/zombie
EntityPlayerLocal.Update: 3.7400 ms/zombie
EAIManager.Update: 3.5607 ms/zombie
Entity.Update: 3.2925 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 1.6127 ms/zombie
EntityLookHelper.onUpdateLook: 1.5507 ms/zombie
EntitySeeCache.CanSee: 0.6604 ms/zombie
