# HIGH-LOAD CAPTURE: HIGH_ZOMBIE_COUNT
# Timestamp: 2026-04-11T16:45:53.0452181Z
# Frame: 17372
# ZombieCount: 50
# CurrentFPS: 52.14
# BaselineFPS: 92.41
# PeakFPS: 145.69
# FPSDrop%: 43.6%
# PeakZombies: 50
# CaptureNumber: 1/5
# GC_MB: 2351.1

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,863.6254,41944,0.020590,26.95%,AI_ENTITY
EntityAlive.updateTasks,671.5429,37150,0.018077,20.96%,AI_ENTITY
EntityAlive.Update,505.6953,58814,0.008598,15.78%,AI_ENTITY
EntityPlayerLocal.Update,351.2446,1112,0.315867,10.96%,PLAYER
Entity.Update,199.9111,60106,0.003326,6.24%,OTHER
EAIManager.Update,161.1928,14142,0.011398,5.03%,AI_TASK
EntityAlive.updateCurrentBlockPosAndValue,151.9040,22524,0.006744,4.74%,AI_ENTITY
EntityMoveHelper.UpdateMoveHelper,151.7531,37150,0.004085,4.74%,MOVEMENT
EntityLookHelper.onUpdateLook,63.8965,37150,0.001720,1.99%,OTHER
EntityPlayer.Update,23.8723,1112,0.021468,0.75%,OTHER
EntitySeeCache.CanSee,18.1852,2591,0.007019,0.57%,SENSING
EntitySeeCache.ClearIfExpired,15.4843,19501,0.000794,0.48%,SENSING
BaseObjective.Update,11.6981,1112,0.010520,0.37%,OTHER
GUIWindow.Update,8.4654,10220,0.000828,0.26%,UI
EntityAlive.updateSpeedForwardAndStrafe,3.8409,1852,0.002074,0.12%,AI_ENTITY
EAIBase.Update,1.5024,1012,0.001485,0.05%,AI_TASK
EntityAlive.FindPath,0.2326,68,0.003421,0.01%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Budget.High,42327
GetAttackTarget.Total,30842
GetAttackTarget.CacheHit,30309
CallChain.GetAttackTarget.from.Direct/Unknown,28530
Combat.Total,26339
MoveSpeed.CacheHit,22090
MoveEntityHeaded.calls,20972
Combat.Alert,19530
Combat.Investigating,19332
Budget.AwareDemoted,19296
updateTasks.calls,18575
MoveSpeed.Curved,9381
Budget.Critical,8097
Critical.Combat,6792
Combat.AttackTarget,6617
Combat.RevengeTarget,4815
Budget.Medium,4669
BlockPosUpdate.Throttled,4342
Budget.Low,2621
CallChain.GetAttackTarget.from.OnUpdateLive,2312
ZombieFrame.Skipped,1918
MoveEntityHeaded.LiteMotion,1564
Critical.Close,1305
CallChain.GetRevengeTarget.from.OnUpdateLive,1144
GetRevengeTarget.Total,1144
GetRevengeTarget.CacheHit,1144
ThreatLevel.Throttled,1112
updateSpeedForwardAndStrafe.calls,926
updateTasks.LiteRun,920
EAIManager.EvalThrottled,920
PlayerShelter.Throttled,765
SeeCache.SharedHit,722
JiggleBone.Disabled,635
SleeperVolume.Skipped,318
Combat.RecentlyAttacked,202
PlayerBlockRadius.Throttled,110
Budget.Grace,92
MoveHelper.Throttled,75
Particle.EmissionScaled,26
EntityCollision.Skipped,17

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=1564, total=20972, rate=7.5%
updateTasks.Lite: skipped=920, total=18575, rate=5.0%
GetAttackTarget: skipped=30309, total=30842, rate=98.3%
GetRevengeTarget: skipped=1144, total=1144, rate=100.0%
EntityCollision: skipped=17, total=17, rate=100.0%
MoveHelper: skipped=75, total=75, rate=100.0%
EAIManager.Eval: skipped=920, total=920, rate=100.0%
SeeCache.Shared: skipped=722, total=722, rate=100.0%
PlayerBlockRadius: skipped=110, total=110, rate=100.0%
PlayerShelter: skipped=765, total=765, rate=100.0%
ZombieFrame: skipped=1918, total=1918, rate=100.0%
MoveSpeed: skipped=22090, total=22090, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,28530
CallChain.GetAttackTarget.from.OnUpdateLive,2312
CallChain.GetRevengeTarget.from.OnUpdateLive,1144

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 64.0809
EntityAlive.MoveEntityHeaded: 17.2725 ms/zombie
EntityAlive.updateTasks: 13.4309 ms/zombie
EntityAlive.Update: 10.1139 ms/zombie
EntityPlayerLocal.Update: 7.0249 ms/zombie
Entity.Update: 3.9982 ms/zombie
EAIManager.Update: 3.2239 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 3.0381 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 3.0351 ms/zombie
EntityLookHelper.onUpdateLook: 1.2779 ms/zombie
EntityPlayer.Update: 0.4774 ms/zombie
