# HIGH-LOAD CAPTURE: LOW_FPS
# Timestamp: 2026-04-13T05:20:18.5554847Z
# Frame: 33674
# ZombieCount: 57
# CurrentFPS: 29.98
# BaselineFPS: 115.81
# PeakFPS: 195.80
# FPSDrop%: 74.1%
# PeakZombies: 68
# CaptureNumber: 5/5
# GC_MB: 2439.8

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,1333.0429,54610,0.024410,29.88%,AI_ENTITY
EntityAlive.updateTasks,1123.6219,47972,0.023422,25.18%,AI_ENTITY
EAIManager.Update,469.4212,15612,0.030068,10.52%,AI_TASK
EntityAlive.Update,356.8687,43999,0.008111,8.00%,AI_ENTITY
EntityPlayerLocal.Update,351.5759,587,0.598937,7.88%,PLAYER
EntityMoveHelper.UpdateMoveHelper,345.3624,47972,0.007199,7.74%,MOVEMENT
EntityAlive.updateCurrentBlockPosAndValue,143.8845,30284,0.004751,3.22%,AI_ENTITY
Entity.Update,137.7282,37774,0.003646,3.09%,OTHER
EntityLookHelper.onUpdateLook,81.0881,47972,0.001690,1.82%,OTHER
EntitySeeCache.CanSee,65.4509,16459,0.003977,1.47%,SENSING
EntitySeeCache.ClearIfExpired,19.1138,26410,0.000724,0.43%,SENSING
EntityPlayer.Update,13.8825,587,0.023650,0.31%,OTHER
BaseObjective.Update,5.6645,587,0.009650,0.13%,OTHER
GUIWindow.Update,5.3157,5292,0.001004,0.12%,UI
EntityAlive.updateSpeedForwardAndStrafe,5.0318,4848,0.001038,0.11%,AI_ENTITY
EAIBase.Update,3.2326,3233,0.001000,0.07%,AI_TASK
EntityAlive.FindPath,1.7276,763,0.002264,0.04%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
GetAttackTarget.Total,32181
Combat.Total,31824
MoveSpeed.CacheHit,29879
Combat.Alert,28578
MoveEntityHeaded.calls,27305
Combat.Investigating,25300
updateTasks.calls,23986
CallChain.GetAttackTarget.from.Direct/Unknown,20108
Budget.AwareDemoted,18036
Budget.Critical,15854
Budget.High,13284
GetAttackTarget.CacheHit,13167
Budget.Low,12184
CallChain.GetAttackTarget.from.OnUpdateLive,12073
Critical.Combat,11000
Combat.AttackTarget,9860
ZombieFrame.Skipped,9139
BlockPosUpdate.Throttled,7331
MoveSpeed.Curved,6717
updateTasks.LiteRun,5867
EAIManager.EvalThrottled,5867
Combat.RevengeTarget,5853
CallChain.GetRevengeTarget.from.OnUpdateLive,5724
GetRevengeTarget.Total,5724
MoveEntityHeaded.Skipped,5455
Critical.Close,4854
updateSpeedForwardAndStrafe.calls,2424
Budget.Medium,2092
GetRevengeTarget.CacheHit,1619
EntityCollision.Skipped,1513
MoveHelper.Throttled,1499
SpeedStrafe.Throttled,1356
ThreatLevel.Throttled,587
JiggleBone.Disabled,480
PlayerShelter.Throttled,441
SleeperVolume.Skipped,303
Combat.RecentlyAttacked,236
PlayerBlockRadius.Throttled,225
Particle.EmissionScaled,223
Budget.Grace,10
Particle.SkippedRespawn,1

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=0, total=27305, rate=0.0%
updateTasks.Lite: skipped=5867, total=23986, rate=24.5%
GetAttackTarget: skipped=13167, total=32181, rate=40.9%
GetRevengeTarget: skipped=1619, total=5724, rate=28.3%
EntityCollision: skipped=1513, total=1513, rate=100.0%
MoveHelper: skipped=1499, total=1499, rate=100.0%
SpeedStrafe: skipped=1356, total=1356, rate=100.0%
EAIManager.Eval: skipped=5867, total=5867, rate=100.0%
PlayerBlockRadius: skipped=225, total=225, rate=100.0%
PlayerShelter: skipped=441, total=441, rate=100.0%
ZombieFrame: skipped=9139, total=9139, rate=100.0%
MoveSpeed: skipped=29879, total=29879, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,20108
CallChain.GetAttackTarget.from.OnUpdateLive,12073
CallChain.GetRevengeTarget.from.OnUpdateLive,5724

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 78.2809
EntityAlive.MoveEntityHeaded: 23.3867 ms/zombie
EntityAlive.updateTasks: 19.7127 ms/zombie
EAIManager.Update: 8.2355 ms/zombie
EntityAlive.Update: 6.2609 ms/zombie
EntityPlayerLocal.Update: 6.1680 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 6.0590 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 2.5243 ms/zombie
Entity.Update: 2.4163 ms/zombie
EntityLookHelper.onUpdateLook: 1.4226 ms/zombie
EntitySeeCache.CanSee: 1.1483 ms/zombie
