# HIGH-LOAD CAPTURE: RECOVERY_FAIL
# Timestamp: 2026-03-19T18:15:20.4469504Z
# Frame: 18106
# ZombieCount: 0
# CurrentFPS: 38.38
# BaselineFPS: 142.91
# PeakFPS: 176.18
# FPSDrop%: 73.1%
# PeakZombies: 2
# CaptureNumber: 1/5
# GC_MB: 2193.5

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityVehicle.Update,359.7342,26220,0.013720,63.73%,OTHER
EntityAlive.Update,138.3388,26634,0.005194,24.51%,AI_ENTITY
EntityPlayerLocal.Update,29.2666,69,0.424154,5.18%,PLAYER
Entity.Update,25.5289,30770,0.000830,4.52%,OTHER
EntityAlive.updateTasks,3.0821,60,0.051368,0.55%,AI_ENTITY
EntityPlayer.Update,2.1491,69,0.031146,0.38%,OTHER
EntityAlive.MoveEntityHeaded,1.8321,40,0.045803,0.32%,AI_ENTITY
EAIManager.Update,1.6627,60,0.027712,0.29%,AI_TASK
EntityAlive.updateCurrentBlockPosAndValue,1.0788,80,0.013485,0.19%,AI_ENTITY
GUIWindow.Update,0.9235,516,0.001790,0.16%,UI
EntityMoveHelper.UpdateMoveHelper,0.4480,60,0.007467,0.08%,MOVEMENT
EntitySeeCache.CanSee,0.1367,3,0.045567,0.02%,SENSING
EntityLookHelper.onUpdateLook,0.1255,60,0.002092,0.02%,OTHER
EntityAlive.updateSpeedForwardAndStrafe,0.1193,120,0.000994,0.02%,AI_ENTITY
EntitySeeCache.ClearIfExpired,0.0337,30,0.001123,0.01%,SENSING

=== CALL COUNTS ===
Counter,Value
CallChain.GetAttackTarget.from.Direct/Unknown,796
GetAttackTarget.Total,796
GetRevengeTarget.Total,615
CallChain.GetRevengeTarget.from.Direct/Unknown,615
Budget.High,340
GetAttackTarget.CacheHit,174
Budget.Low,136
Budget.Critical,136
MoveSpeed.CacheHit,70
updateSpeedForwardAndStrafe.calls,60
updateTasks.calls,30
MoveEntityHeaded.calls,20
MoveHelper.Throttled,9
GetRevengeTarget.CacheHit,3
Budget.Medium,0

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=0, total=20, rate=0.0%
updateTasks.Lite: skipped=0, total=30, rate=0.0%
GetAttackTarget: skipped=174, total=796, rate=21.9%
GetRevengeTarget: skipped=3, total=615, rate=0.5%
MoveHelper: skipped=9, total=9, rate=100.0%
MoveSpeed: skipped=70, total=70, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,796
CallChain.GetRevengeTarget.from.Direct/Unknown,615

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
