# HIGH-LOAD CAPTURE: RECOVERY_FAIL
# Timestamp: 2026-04-13T06:04:28.5985656Z
# Frame: 178098
# ZombieCount: 0
# CurrentFPS: 72.77
# BaselineFPS: 115.81
# PeakFPS: 195.80
# FPSDrop%: 37.2%
# PeakZombies: 56
# CaptureNumber: 9/5
# GC_MB: 3059.7

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityPlayerLocal.Update,1052.6563,2364,0.445286,62.93%,PLAYER
EntityAlive.updateTasks,139.8534,3508,0.039867,8.36%,AI_ENTITY
EntityAlive.Update,121.7572,9456,0.012876,7.28%,AI_ENTITY
EntityAlive.MoveEntityHeaded,101.7826,2338,0.043534,6.08%,AI_ENTITY
EntityPlayer.Update,53.8904,2364,0.022796,3.22%,OTHER
Entity.Update,51.6829,9646,0.005358,3.09%,OTHER
EntityAlive.updateCurrentBlockPosAndValue,43.0274,2339,0.018396,2.57%,AI_ENTITY
EAIManager.Update,36.1949,3488,0.010377,2.16%,AI_TASK
EntityMoveHelper.UpdateMoveHelper,25.7715,3508,0.007346,1.54%,MOVEMENT
GUIWindow.Update,25.0295,20798,0.001203,1.50%,UI
EntityLookHelper.onUpdateLook,11.3311,3508,0.003230,0.68%,OTHER
EntitySeeCache.ClearIfExpired,3.9138,1754,0.002231,0.23%,SENSING
EntityAlive.updateSpeedForwardAndStrafe,3.1715,1170,0.002711,0.19%,AI_ENTITY
EntitySeeCache.CanSee,1.8613,46,0.040463,0.11%,SENSING
EAIBase.Update,0.8510,238,0.003576,0.05%,AI_TASK
EntityAlive.FindPath,0.0182,4,0.004550,0.00%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
GetAttackTarget.Total,7396
CallChain.GetAttackTarget.from.Direct/Unknown,7148
GetAttackTarget.CacheHit,5995
Budget.High,2451
Budget.Low,2364
Critical.Close,2277
Budget.Critical,2277
MoveSpeed.CacheHit,1754
updateTasks.calls,1754
MoveEntityHeaded.calls,1169
updateSpeedForwardAndStrafe.calls,585
SleeperVolume.Skipped,439
MoveEntityHeaded.Skipped,381
CallChain.GetAttackTarget.from.OnUpdateLive,248
CallChain.GetRevengeTarget.from.OnUpdateLive,118
GetRevengeTarget.Total,118
JiggleBone.Disabled,79
updateTasks.LiteRun,10
EAIManager.EvalThrottled,10
Budget.Medium,0

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=0, total=1169, rate=0.0%
updateTasks.Lite: skipped=10, total=1754, rate=0.6%
GetAttackTarget: skipped=5995, total=7396, rate=81.1%
GetRevengeTarget: skipped=0, total=118, rate=0.0%
EAIManager.Eval: skipped=10, total=10, rate=100.0%
MoveSpeed: skipped=1754, total=1754, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,7148
CallChain.GetAttackTarget.from.OnUpdateLive,248
CallChain.GetRevengeTarget.from.OnUpdateLive,118

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
