# HIGH-LOAD CAPTURE: RECOVERY_FAIL
# Timestamp: 2026-04-13T05:27:28.2044793Z
# Frame: 61681
# ZombieCount: 0
# CurrentFPS: 81.29
# BaselineFPS: 115.81
# PeakFPS: 195.80
# FPSDrop%: 29.8%
# PeakZombies: 43
# CaptureNumber: 7/5
# GC_MB: 2884.1

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityPlayerLocal.Update,1004.0560,2025,0.495830,83.28%,PLAYER
EntityAlive.updateCurrentBlockPosAndValue,47.1750,596,0.079153,3.91%,AI_ENTITY
EntityPlayer.Update,47.0080,2025,0.023214,3.90%,OTHER
EntityAlive.Update,36.0949,2025,0.017825,2.99%,AI_ENTITY
Entity.Update,29.9393,5884,0.005088,2.48%,OTHER
BaseObjective.Update,21.1890,2025,0.010464,1.76%,OTHER
GUIWindow.Update,20.2211,19622,0.001031,1.68%,UI

=== CALL COUNTS ===
Counter,Value
CallChain.GetAttackTarget.from.Direct/Unknown,4768
GetAttackTarget.Total,4768
GetAttackTarget.CacheHit,4172
SleeperVolume.Skipped,447
Budget.Low,0
Budget.High,0
Budget.Medium,0
Budget.Critical,0

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
GetAttackTarget: skipped=4172, total=4768, rate=87.5%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,4768

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
