# HIGH-LOAD CAPTURE: RECOVERY_FAIL
# Timestamp: 2026-04-11T17:21:32.3099980Z
# Frame: 109197
# ZombieCount: 11
# CurrentFPS: 63.11
# BaselineFPS: 92.41
# PeakFPS: 145.69
# FPSDrop%: 31.7%
# PeakZombies: 90
# CaptureNumber: 6/5
# GC_MB: 2463.4

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.updateTasks,649.8004,15394,0.042211,20.71%,AI_ENTITY
EntityPlayerLocal.Update,638.5570,1902,0.335729,20.35%,PLAYER
EntityAlive.MoveEntityHeaded,618.9900,22468,0.027550,19.72%,AI_ENTITY
EntityAlive.Update,381.6467,38722,0.009856,12.16%,AI_ENTITY
EAIManager.Update,299.6277,14886,0.020128,9.55%,AI_TASK
Entity.Update,212.7197,53296,0.003991,6.78%,OTHER
EntityMoveHelper.UpdateMoveHelper,134.6582,15394,0.008747,4.29%,MOVEMENT
EntityAlive.updateCurrentBlockPosAndValue,59.2731,11814,0.005017,1.89%,AI_ENTITY
EntityPlayer.Update,41.5754,1902,0.021859,1.32%,OTHER
EntityLookHelper.onUpdateLook,31.0721,15394,0.002018,0.99%,OTHER
EntitySeeCache.CanSee,24.6093,4091,0.006015,0.78%,SENSING
BaseObjective.Update,19.4654,1902,0.010234,0.62%,OTHER
GUIWindow.Update,15.3485,18342,0.000837,0.49%,UI
EntitySeeCache.ClearIfExpired,8.5510,7697,0.001111,0.27%,SENSING
EAIBase.Update,1.7932,1220,0.001470,0.06%,AI_TASK
EntityAlive.FindPath,0.5243,150,0.003495,0.02%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Combat.Total,28166
Combat.Alert,19401
GetAttackTarget.Total,17908
Combat.Investigating,17824
Budget.Critical,17477
GetAttackTarget.CacheHit,16912
Budget.High,13663
Budget.AwareDemoted,13663
CallChain.GetAttackTarget.from.Direct/Unknown,12527
MoveSpeed.CacheHit,11234
MoveEntityHeaded.calls,11234
Critical.Combat,10526
Combat.RevengeTarget,10068
updateTasks.calls,7697
Combat.AttackTarget,7064
Critical.Close,6951
Budget.Medium,5680
CallChain.GetAttackTarget.from.OnUpdateLive,5381
ThreatLevel.Throttled,1791
CallChain.GetRevengeTarget.from.OnUpdateLive,1375
GetRevengeTarget.Total,1375
GetRevengeTarget.CacheHit,1375
JiggleBone.Disabled,633
Combat.RecentlyAttacked,437
SleeperVolume.Skipped,435
MoveHelper.Throttled,22
Budget.Low,0

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=0, total=11234, rate=0.0%
updateTasks.Lite: skipped=0, total=7697, rate=0.0%
GetAttackTarget: skipped=16912, total=17908, rate=94.4%
GetRevengeTarget: skipped=1375, total=1375, rate=100.0%
MoveHelper: skipped=22, total=22, rate=100.0%
MoveSpeed: skipped=11234, total=11234, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,12527
CallChain.GetAttackTarget.from.OnUpdateLive,5381
CallChain.GetRevengeTarget.from.OnUpdateLive,1375

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 285.2920
EntityAlive.updateTasks: 59.0728 ms/zombie
EntityPlayerLocal.Update: 58.0506 ms/zombie
EntityAlive.MoveEntityHeaded: 56.2718 ms/zombie
EntityAlive.Update: 34.6952 ms/zombie
EAIManager.Update: 27.2389 ms/zombie
Entity.Update: 19.3382 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 12.2417 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 5.3885 ms/zombie
EntityPlayer.Update: 3.7796 ms/zombie
EntityLookHelper.onUpdateLook: 2.8247 ms/zombie
