# HIGH-LOAD CAPTURE: RECOVERY_FAIL
# Timestamp: 2026-04-10T21:36:16.2093126Z
# Frame: 87490
# ZombieCount: 15
# CurrentFPS: 65.55
# BaselineFPS: 95.55
# PeakFPS: 152.12
# FPSDrop%: 31.4%
# PeakZombies: 67
# CaptureNumber: 6/5
# GC_MB: 2497.9

=== TIMING DATA (sorted by TotalMs) ===
Tag,TotalMs,Calls,AvgMs,PercentOfTotal,Category
EntityAlive.MoveEntityHeaded,850.6743,27146,0.031337,22.95%,AI_ENTITY
EntityAlive.updateTasks,766.4407,23764,0.032252,20.68%,AI_ENTITY
EntityPlayerLocal.Update,666.5943,1617,0.412241,17.98%,PLAYER
EntityAlive.Update,489.2331,44068,0.011102,13.20%,AI_ENTITY
EAIManager.Update,268.5101,19000,0.014132,7.24%,AI_TASK
Entity.Update,211.8289,52043,0.004070,5.71%,OTHER
EntityMoveHelper.UpdateMoveHelper,192.7383,23764,0.008111,5.20%,MOVEMENT
EntityAlive.updateCurrentBlockPosAndValue,131.8587,15626,0.008438,3.56%,AI_ENTITY
EntityLookHelper.onUpdateLook,46.6069,23764,0.001961,1.26%,OTHER
EntityPlayer.Update,39.5358,1617,0.024450,1.07%,OTHER
GUIWindow.Update,17.3502,15522,0.001118,0.47%,UI
EntitySeeCache.ClearIfExpired,10.2456,11882,0.000862,0.28%,SENSING
EntitySeeCache.CanSee,9.0728,1350,0.006721,0.24%,SENSING
EntityAlive.updateSpeedForwardAndStrafe,2.8088,2352,0.001194,0.08%,AI_ENTITY
EAIBase.Update,2.7091,1356,0.001998,0.07%,AI_TASK
EntityAlive.FindPath,0.4071,123,0.003310,0.01%,AI_ENTITY

=== CALL COUNTS ===
Counter,Value
Budget.Critical,21508
Critical.Combat,20529
Combat.Total,20529
GetAttackTarget.Total,18697
GetAttackTarget.CacheHit,17442
Combat.Alert,17035
MoveSpeed.CacheHit,15030
Combat.Investigating,14511
MoveEntityHeaded.calls,13573
CallChain.GetAttackTarget.from.Direct/Unknown,13553
updateTasks.calls,11882
Budget.High,8861
Budget.Medium,6084
Budget.Low,6017
CallChain.GetAttackTarget.from.OnUpdateLive,5144
Combat.RevengeTarget,3545
Combat.AttackTarget,3387
ThreatLevel.Throttled,1597
updateSpeedForwardAndStrafe.calls,1176
CallChain.GetRevengeTarget.from.OnUpdateLive,1044
GetRevengeTarget.Total,1044
GetRevengeTarget.CacheHit,1044
MoveEntityHeaded.LiteMotion,1038
MoveHelper.Throttled,994
Critical.Close,979
JiggleBone.Disabled,523
SleeperVolume.Skipped,441
BlockPosUpdate.Throttled,413
updateTasks.LiteRun,284
EAIManager.EvalThrottled,284
DefaultMoveEntity.LitePhysics,224
PlayerShelter.Throttled,199
ZombieFrame.Skipped,110
Combat.RecentlyAttacked,80
Particle.EmissionScaled,77
Budget.Grace,50
SeeCache.SharedHit,30
EntityCollision.Skipped,23
SpeedStrafe.Throttled,23
PlayerBlockRadius.Throttled,1
ChunkCopy.BudgetHit,1

=== OPTIMIZATION EFFECTIVENESS ===
# Shows how much work our patches skipped vs total calls
MoveEntityHeaded.Lite: skipped=1038, total=13573, rate=7.6%
updateTasks.Lite: skipped=284, total=11882, rate=2.4%
GetAttackTarget: skipped=17442, total=18697, rate=93.3%
GetRevengeTarget: skipped=1044, total=1044, rate=100.0%
EntityCollision: skipped=23, total=23, rate=100.0%
MoveHelper: skipped=994, total=994, rate=100.0%
SpeedStrafe: skipped=23, total=23, rate=100.0%
EAIManager.Eval: skipped=284, total=284, rate=100.0%
SeeCache.Shared: skipped=30, total=30, rate=100.0%
PlayerBlockRadius: skipped=1, total=1, rate=100.0%
PlayerShelter: skipped=199, total=199, rate=100.0%
ZombieFrame: skipped=110, total=110, rate=100.0%
MoveSpeed: skipped=15030, total=15030, rate=100.0%

=== CALL CHAIN: WHO CALLS GetAttackTarget / GetRevengeTarget ===
# Format: CallChain.<TargetMethod>.from.<CallerMethod>,Count
# 'Direct/Unknown' = called from a site we don't instrument
Caller,Calls
CallChain.GetAttackTarget.from.Direct/Unknown,13553
CallChain.GetAttackTarget.from.OnUpdateLive,5144
CallChain.GetRevengeTarget.from.OnUpdateLive,1044

=== GAME CPU COST PER ZOMBIE ===
# How much CPU time (ms) the GAME spends per zombie for each system.
# This is NOT profiling overhead — it is the actual game workload divided by zombie count.
# Lower values = better optimization. Compare across captures to track improvement.
TotalMs per zombie: 247.1076
EntityAlive.MoveEntityHeaded: 56.7116 ms/zombie
EntityAlive.updateTasks: 51.0960 ms/zombie
EntityPlayerLocal.Update: 44.4396 ms/zombie
EntityAlive.Update: 32.6155 ms/zombie
EAIManager.Update: 17.9007 ms/zombie
Entity.Update: 14.1219 ms/zombie
EntityMoveHelper.UpdateMoveHelper: 12.8492 ms/zombie
EntityAlive.updateCurrentBlockPosAndValue: 8.7906 ms/zombie
EntityLookHelper.onUpdateLook: 3.1071 ms/zombie
EntityPlayer.Update: 2.6357 ms/zombie
