TimeUtc,Frame,ZombieCount,AI_ms,Sensing_ms,Other_ms,TotalMs,GC_kb,CurrentFPS,BaselineFPS,PeakFPS,Top1_Tag,Top1_ms,Top2_Tag,Top2_ms,Top3_Tag,Top3_ms,Top4_Tag,Top4_ms,Top5_Tag,Top5_ms
2026-04-11T17:57:05.7656612Z,7734,1,407.3812,0.3151,1159.2261,1566.9224,2324444,86.29,81.14,148.57,EntityPlayerLocal.Update,906.9711,EntityAlive.Update,129.5518,EntityAlive.updateTasks,112.7812,EntityAlive.MoveEntityHeaded,106.7903,BaseObjective.Update,84.4494
2026-04-11T17:57:35.7627584Z,9829,9,1277.6806,9.8783,1337.3105,2624.8694,2304864,71.67,81.14,148.57,EntityPlayerLocal.Update,1043.7558,EntityAlive.updateTasks,447.4865,EntityAlive.MoveEntityHeaded,317.1710,EntityAlive.Update,258.3100,EAIManager.Update,169.5410
2026-04-11T17:58:05.7746288Z,12042,6,1262.7483,17.2374,1366.8562,2646.8419,2322340,73.45,81.14,148.57,EntityPlayerLocal.Update,1101.1208,EntityAlive.MoveEntityHeaded,369.0037,EntityAlive.updateTasks,345.9215,EntityAlive.Update,284.1097,EAIManager.Update,153.7334
2026-04-11T17:58:35.7849557Z,14296,2,724.5455,11.6907,1321.0568,2057.2930,2318012,79.10,81.14,148.57,EntityPlayerLocal.Update,1123.7017,EntityAlive.Update,221.1915,EntityAlive.MoveEntityHeaded,187.4768,EntityAlive.updateTasks,155.9060,EntityAlive.updateCurrentBlockPosAndValue,81.1540
2026-04-11T17:59:05.8009552Z,16573,12,621.9975,9.4856,1318.7406,1950.2237,2518484,60.33,93.51,148.57,EntityPlayerLocal.Update,1121.0141,EntityAlive.Update,214.3563,EntityAlive.MoveEntityHeaded,148.6485,EntityAlive.updateTasks,130.6865,Entity.Update,68.5950
2026-04-11T17:59:35.8102730Z,18612,2,1338.7319,46.8134,1357.0519,2742.5972,2511836,68.77,93.51,148.57,EntityPlayerLocal.Update,1034.7992,EntityAlive.updateTasks,388.5148,EntityAlive.MoveEntityHeaded,337.2530,EntityAlive.Update,286.9628,EAIManager.Update,197.6909
2026-04-11T18:00:05.8237684Z,20536,16,1630.7094,40.9398,1254.8512,2926.5004,2524292,64.92,93.51,148.57,EntityPlayerLocal.Update,883.9457,EntityAlive.updateTasks,470.4178,EntityAlive.MoveEntityHeaded,465.5546,EntityAlive.Update,363.1132,EAIManager.Update,197.4905
2026-04-11T18:00:35.8309170Z,22523,8,2192.6267,48.0892,1282.8219,3523.5378,2563748,72.28,93.51,148.57,EntityPlayerLocal.Update,839.9872,EntityAlive.updateTasks,676.2855,EntityAlive.MoveEntityHeaded,634.7028,EntityAlive.Update,423.8534,EAIManager.Update,307.5847
2026-04-11T18:01:05.8440103Z,24670,14,1801.8995,38.4158,1275.2275,3115.5428,2571644,65.85,93.51,148.57,EntityPlayerLocal.Update,904.8067,EntityAlive.updateTasks,567.4164,EntityAlive.MoveEntityHeaded,541.3991,EntityAlive.Update,328.0576,EAIManager.Update,262.1565
2026-04-11T18:01:35.8554351Z,26712,12,2076.3214,34.4119,1350.1903,3460.9236,2387076,78.59,93.51,148.57,EntityPlayerLocal.Update,936.2133,EntityAlive.updateTasks,642.3427,EntityAlive.MoveEntityHeaded,560.7728,EntityAlive.Update,418.1565,EAIManager.Update,309.8930
2026-04-11T18:02:05.8647915Z,28747,19,1819.7506,34.0178,1316.1274,3169.8958,2406692,59.30,93.51,148.57,EntityPlayerLocal.Update,904.6255,EntityAlive.updateTasks,545.4656,EntityAlive.MoveEntityHeaded,501.1460,EntityAlive.Update,414.6146,EAIManager.Update,227.9932
2026-04-11T18:02:35.8715814Z,30406,15,2679.5000,66.7847,1242.1425,3988.4272,2436836,51.11,93.51,148.57,EntityAlive.updateTasks,894.6509,EntityAlive.MoveEntityHeaded,766.5195,EntityPlayerLocal.Update,759.9672,EAIManager.Update,432.8271,EntityAlive.Update,420.5367
2026-04-11T18:03:05.8727827Z,32119,12,2543.1081,46.6437,1286.4399,3876.1917,2474448,66.06,93.51,148.57,EntityPlayerLocal.Update,798.2901,EntityAlive.MoveEntityHeaded,780.2860,EntityAlive.updateTasks,768.0777,EntityAlive.Update,492.9789,EAIManager.Update,326.1538
2026-04-11T18:03:35.8806420Z,34150,11,1875.1647,3.6798,1285.9302,3164.7747,2490012,70.76,93.51,148.57,EntityPlayerLocal.Update,852.0978,EntityAlive.MoveEntityHeaded,627.2508,EntityAlive.updateTasks,506.2705,EntityAlive.Update,430.6105,EAIManager.Update,179.4506
2026-04-11T18:04:05.8965033Z,36124,24,2630.4438,29.8046,1341.9544,4002.2028,2513256,55.59,93.51,148.57,EntityAlive.MoveEntityHeaded,1020.6252,EntityPlayerLocal.Update,853.4735,EntityAlive.updateTasks,712.7035,EntityAlive.Update,450.3794,EAIManager.Update,291.3385
2026-04-11T18:04:35.9054880Z,37856,13,2538.8889,28.8003,1212.6586,3780.3478,2556872,66.22,93.51,148.57,EntityAlive.MoveEntityHeaded,925.0871,EntityPlayerLocal.Update,728.5405,EntityAlive.updateTasks,704.1142,EntityAlive.Update,478.7202,EAIManager.Update,253.2290
2026-04-11T18:05:05.9121055Z,39930,12,1989.7613,7.8035,1333.0477,3330.6125,2575472,73.49,93.51,148.57,EntityPlayerLocal.Update,925.5463,EntityAlive.MoveEntityHeaded,676.9330,EntityAlive.updateTasks,537.6230,EntityAlive.Update,425.8971,EAIManager.Update,208.9655
2026-04-11T18:05:35.9235881Z,41862,17,2079.5603,6.4651,1408.3801,3494.4055,2602312,61.57,93.51,148.57,EntityPlayerLocal.Update,992.6137,EntityAlive.MoveEntityHeaded,705.9452,EntityAlive.updateTasks,585.5355,EntityAlive.Update,427.3735,EAIManager.Update,217.0907
2026-04-11T18:06:05.9357647Z,43711,11,2161.1625,22.5816,1375.3687,3559.1128,2619360,70.98,93.51,148.57,EntityPlayerLocal.Update,958.0032,EntityAlive.MoveEntityHeaded,739.5221,EntityAlive.updateTasks,634.9884,EntityAlive.Update,370.7859,EAIManager.Update,284.1049
2026-04-11T18:06:35.9379993Z,45455,26,2515.3673,29.5239,1352.2617,3897.1529,2447404,53.03,93.51,148.57,EntityPlayerLocal.Update,886.5783,EntityAlive.MoveEntityHeaded,830.6263,EntityAlive.updateTasks,767.6833,EntityAlive.Update,480.4026,EAIManager.Update,302.2825
2026-04-11T18:07:05.9433185Z,46973,24,367.5520,7.2709,149.4686,524.2915,2364356,49.58,93.51,148.57,EntityAlive.MoveEntityHeaded,130.1654,EntityAlive.updateTasks,115.5858,EntityPlayerLocal.Update,90.0688,EAIManager.Update,54.9351,EntityAlive.Update,50.6902
2026-04-11T18:07:35.9634598Z,48582,19,2790.5364,46.9821,1330.5942,4168.1127,2405088,55.40,93.51,148.57,EntityAlive.MoveEntityHeaded,990.2150,EntityAlive.updateTasks,848.8162,EntityPlayerLocal.Update,834.3817,EntityAlive.Update,460.9596,EAIManager.Update,361.3183
2026-04-11T18:08:05.9766923Z,50311,21,2645.6870,30.7928,1372.1293,4048.6091,2466592,60.41,93.51,148.57,EntityAlive.MoveEntityHeaded,876.3202,EntityPlayerLocal.Update,870.9661,EntityAlive.updateTasks,828.2233,EntityAlive.Update,469.7705,EAIManager.Update,334.7412
2026-04-11T18:08:35.9934922Z,51998,32,3059.6957,45.1801,1388.1687,4493.0445,2552184,54.46,93.51,148.57,EntityAlive.MoveEntityHeaded,1038.2838,EntityAlive.updateTasks,947.7222,EntityPlayerLocal.Update,816.6875,EntityAlive.Update,562.8951,EAIManager.Update,352.8860
2026-04-11T18:09:05.9951897Z,53620,27,3304.5945,62.3756,1435.9856,4802.9557,2458832,54.19,93.51,148.57,EntityAlive.MoveEntityHeaded,1180.6148,EntityAlive.updateTasks,1054.4146,EntityPlayerLocal.Update,765.7146,EntityAlive.Update,555.3277,EAIManager.Update,349.0754
2026-04-11T18:09:36.0005597Z,55289,17,2626.3633,24.6529,1346.3347,3997.3509,2564180,60.68,93.51,148.57,EntityAlive.MoveEntityHeaded,919.4773,EntityPlayerLocal.Update,808.0612,EntityAlive.updateTasks,796.4218,EntityAlive.Update,477.0923,EAIManager.Update,269.8471
2026-04-11T18:10:06.0105415Z,57044,12,11.4640,0.0190,6.1565,17.6395,2419436,70.04,93.51,148.57,EntityPlayerLocal.Update,4.3220,EntityAlive.updateTasks,3.7510,EntityAlive.MoveEntityHeaded,2.8397,EAIManager.Update,2.2829,EntityAlive.Update,1.7172
